1672-2779（2018）-09-0052-03,马琳,二等奖,吉林省中医药科学院老年病科,基于调补肾理论对益心气补肾精法改善认知功能作用机制的研究,孙莉 项颗,赵振
1672-2779（2018）-05-0088-03,陈茜,二等奖,锦州市妇婴医院中药局,金银花中绿原酸成份的提取方法分析研究,,薛飞
1672-2779（2018）-06-0064-04,季秀丽,二等奖,济南市中医医院肺病科,基于数据挖掘的慢性阻塞性肺疾病急性加重期中医临床用药规律探讨,,张鸿彩
1672-2779（2018）-02-0137-02,何志慧,三等奖,新余市中医院内三科,中医情志护理在改善直肠癌放化疗患者情绪状态中的效果分析,,桂小琪
1672-2779（2018）-07-0074-03,陆锦锐,二等奖,黔南民族医学高等专科学校药学系,中和医派杨建宇运用麻黄附子细辛汤经验,罗俊  龙贤齐 杨建宇*#,胡慧华
1672-2779（2018）-16-0022-04,吉军,二等奖,中国中医科学院养生保健研究中心,中医学优势浅谈,,吕燕
1672-2779（2018）-09-0018-03,宋军营,二等奖,河南中医药大学中医药免疫学实验室,中医院校分子生物学检验技术教学改革探讨,徐华明 段文慧 仝岩 任伟宏 宫洪涛  张振强,贾亚泉
1672-2779（2018）-01-0039-05,华成坤,二等奖,广州中医药大学第一临床医学院,联想法在医院门诊中药房实习带教中的应用,梁文能 苏慕霞 李建芬 朱桂芬 胡国辉,廖小红
1672-2779（2018）-19-0098-03,周国华,二等奖,四川省安岳县中医院肛肠科,中医外治法联合红外线治疗肛肠病术后创面的临床观察,毛红 吴超华 唐俊 秦中国,万英
1672-2779（2018）-02-0156-04,晋中恒,二等奖,京东誉美中西医结合肾病医院肾内科,慢性肾小球肾炎病理与中医辨证相关性的研究,魏艳伶 王少华 陈晓风 史博 邓悦 李敏 梁文林,李静华
1672-2779（2018）-06-0106-04,邱健,二等奖,福建中医药大学附属福鼎医院中医内科,调畅心阳、 厚肠补土法治疗腹泻型肠易激综合征60例,叶凡 李连勇,王毅
1672-2779（2018）-01-0117-03,吴统玲,二等奖,北京中针埋线医学研究院,中国穴位埋线疗法系列讲座 (66) 杨氏3A+“腘五针”埋线针刀治疗膝痛症临床观察,杨才德,高敬辉
1672-2779（2018）-01-0131-02,闵翠兰,三等奖,南昌市洪都中医院门诊部,艾灸结合拔罐联合优质护理治疗血瘀气滞型腰椎间盘突出症的临床研究,王娓秀,陶阳
1672-2779（2018）-01-0158-02,王宪贝,一等奖,山东中医药大学中医学院,多档位便携针灸进针器的研制,车雯锦 鲁明源,王润椿
1672-2779（2018）-17-0129-02,田会军,二等奖,江西省萍乡市人民医院关节外科,温针灸联合透明质酸钠注射治疗骨关节炎的疗效分析,,彭炳龙
1672-2779（2018）-02-0068-03,马春,二等奖,长春中医药大学附属医院老年病2内科,于凯成教授益肾通络法治疗冠心病心律失常的经验总结*,李淑玲 杨丽华,杨戈
1672-2779（2018）-18-0057-02,娄琦,二等奖,山东中医药大学针灸推拿学院,以太极阴阳试析阴陵泉在《针灸大成》中的应用*,王晓燕*,刘焕鑫
1672-2779（2018）-19-0012-03,丁亮,二等奖,山东中医药大学临床医学院,搭建人文教育平台促进中医临床研究生职业能力发展*,刘喆* 李恬恬 李志颖 于荣,黄程程
1672-2779（2018）-02-0046-03,王振卿,三等奖,济宁市公卿中医药研究院内科,活血通脉治疗输卵管阻塞不孕症新探讨*,周洪亮* 樊冬梅 杨秀萍 李留芝,周洪亮
1672-2779（2018）-01-0133-02,谢玉娜,三等奖,中国医科大学附属第一医院运动医学与关节外科,三联序贯法在老年膝骨性关节炎患者中的护理效果观察,,王英东
